1	H	0	1	1	1	1	gas	Nonmetal	3	1
2	He	2	2	2	1	18	gas	Noble Gas	5	1
3	Li	4	3	3	2	1	solid	Alkali Metal	5	2
4	Be	5	4	4	2	2	solid	Alkaline Earth Metal	6	2
5	B	6	5	5	2	13	solid	Metalloid	6	2
6	C	6	6	6	2	14	solid	Nonmetal	7	2
7	N	7	7	7	2	15	gas	Nonmetal	8	2
8	O	8	8	8	2	16	gas	Nonmetal	8	2
9	F	10	9	9	2	17	gas	Halogen	6	2
10	Ne	10	10	10	2	18	gas	Noble Gas	8	2
11	Na	12	11	11	3	1	solid	Alkali Metal	7	3
12	Mg	12	12	12	3	2	solid	Alkaline Earth Metal	8	3
13	Al	14	13	13	3	13	solid	Metal	8	3
14	Si	14	14	14	3	14	solid	Metalloid	8	3
15	P	16	15	15	3	15	solid	Nonmetal	7	3
16	S	16	16	16	3	16	solid	Nonmetal	10	3
17	Cl	18	17	17	3	17	gas	Halogen	11	3
18	Ar	22	18	18	3	18	gas	Noble Gas	8	3
19	K	20	19	19	4	1	solid	Alkali Metal	10	4
20	Ca	20	20	20	4	2	solid	Alkaline Earth Metal	14	4
21	Sc	24	21	21	4	3	solid	Transition Metal	15	4
22	Ti	26	22	22	4	4	solid	Transition Metal	9	4
23	V	28	23	23	4	5	solid	Transition Metal	9	4
24	Cr	28	24	24	4	6	solid	Transition Metal	9	4
25	Mn	30	25	25	4	7	solid	Transition Metal	11	4
26	Fe	30	26	26	4	8	solid	Transition Metal	10	4
27	Co	32	27	27	4	9	solid	Transition Metal	14	4
28	Ni	31	28	28	4	10	solid	Transition Metal	11	4
29	Cu	35	29	29	4	11	solid	Transition Metal	11	4
30	Zn	35	30	30	4	12	solid	Transition Metal	15	4
31	Ga	39	31	31	4	13	solid	Metal	14	4
32	Ge	41	32	32	4	14	solid	Metalloid	17	4
33	As	42	33	33	4	15	solid	Metalloid	14	4
34	Se	45	34	34	4	16	solid	Nonmetal	20	4
35	Br	45	35	35	4	17	liq	Halogen	19	4
36	Kr	48	36	36	4	18	gas	Noble Gas	23	4
37	Rb	48	37	37	5	1	solid	Alkali Metal	20	5
38	Sr	50	38	38	5	2	solid	Alkaline Earth Metal	18	5
39	Y	50	39	39	5	3	solid	Transition Metal	21	5
40	Zr	51	40	40	5	4	solid	Transition Metal	20	5
41	Nb	52	41	41	5	5	solid	Transition Metal	24	5
42	Mo	54	42	42	5	6	solid	Transition Metal	20	5
43	Tc	55	43	43	5	7	artificial	Transition Metal	23	5
44	Ru	57	44	44	5	8	solid	Transition Metal	16	5
45	Rh	58	45	45	5	9	solid	Transition Metal	20	5
46	Pd	60	46	46	5	10	solid	Transition Metal	21	5
47	Ag	61	47	47	5	11	solid	Transition Metal	27	5
48	Cd	64	48	48	5	12	solid	Transition Metal	22	5
49	In	66	49	49	5	13	solid	Metal	34	5
50	Sn	69	50	50	5	14	solid	Metal	28	5
51	Sb	71	51	51	5	15	solid	Metalloid	29	5
52	Te	76	52	52	5	16	solid	Metalloid	29	5
53	I	74	53	53	5	17	solid	Halogen	24	5
54	Xe	77	54	54	5	18	gas	Noble Gas	31	5
55	Cs	78	55	55	6	1	solid	Alkali Metal	22	6
56	Ba	81	56	56	6	2	solid	Alkaline Earth Metal	25	6
57	La	82	57	57	6	3	solid	Lanthanide	19	6
58	Ce	82	58	58	6		solid	Lanthanide	19	6
59	Pr	82	59	59	6		solid	Lanthanide	15	6
60	Nd	84	60	60	6		solid	Lanthanide	16	6
61	Pm	84	61	61	6		artificial	Lanthanide	14	6
62	Sm	88	62	62	6		solid	Lanthanide	17	6
63	Eu	89	63	63	6		solid	Lanthanide	21	6
64	Gd	93	64	64	6		solid	Lanthanide	17	6
65	Tb	94	65	65	6		solid	Lanthanide	24	6
66	Dy	97	66	66	6		solid	Lanthanide	21	6
67	Ho	98	67	67	6		solid	Lanthanide	29	6
68	Er	99	68	68	6		solid	Lanthanide	16	6
69	Tm	100	69	69	6		solid	Lanthanide	18	6
70	Yb	103	70	70	6		solid	Lanthanide	16	6
71	Lu	104	71	71	6		solid	Lanthanide	22	6
72	Hf	106	72	72	6	4	solid	Transition Metal	17	6
73	Ta	108	73	73	6	5	solid	Transition Metal	19	6
74	W	110	74	74	6	6	solid	Transition Metal	22	6
75	Re	111	75	75	6	7	solid	Transition Metal	21	6
76	Os	114	76	76	6	8	solid	Transition Metal	19	6
77	Ir	115	77	77	6	9	solid	Transition Metal	25	6
78	Pt	117	78	78	6	10	solid	Transition Metal	32	6
79	Au	118	79	79	6	11	solid	Transition Metal	21	6
80	Hg	121	80	80	6	12	liq	Transition Metal	26	6
81	Tl	123	81	81	6	13	solid	Metal	28	6
82	Pb	125	82	82	6	14	solid	Metal	29	6
83	Bi	126	83	83	6	15	solid	Metal	19	6
84	Po	126	84	84	6	16	solid	Metalloid	34	6
85	At	125	85	85	6	17	solid	Noble Gas	21	6
86	Rn	136	86	86	6	18	gas	Alkali Metal	20	6